index,label,tweet
0,,"""This is what Trump fans URLHERE  Most white supremacists believe that the white race is in danger of extinction due to a rising “flood” of non-whites, who are controlled and manipulated by Jews, and that imminent action is need to “save” the white race."""
1,,"""10 mindsets destroying Nigeria:-E nor consign me-what’s in it for me?-He’s not from my tribe-Do you know who I am? -Your boys are loyal -That’s how Christians/Muslims do-Nobody is perfect  -everybody is doing it-we’ve set up a committee -let us pray,only God can save us"""
2,,"""Sad to see state of Nation. Follow thread below and you’ll see why. In a nutshell, share a different opinion, have your loyalty, faith, entire being questioned. Even your honorable service to your Nation. But hey, this is today’s America. So much for “thank you for your service.”"""
3,,"""You know, it's the strangest coincidence that when the president was targeting Muslims violence against Muslims skyrocketed. And when he targeted journalists a newspaper was shot up. And when he targets Mexicans a white terrorist says he was targeting Mexicans. What are the odds?"""
4,,"""A sad days for Christianity was the day Kumuyi said Christians should not ""attack"" General @MBuhari. I urge Kumuyi to read Isaiah 1:17:""Seek justice. Defend the oppressed. Take the cause of the fatherless; plead for widows""God bless Oyedepo!#FreeLeahSharibu #RenosNuggets"""
5,,"""The government of #India by its persecution of #Sikhs #Muslims and now its brutal illegal moves in #KashmirBleeds is leading India and the whole region towards disaster. The #UN security council must urgently intervene to halt the rush to war. Not least because it may be nuclear."""
6,,"""She called for ""final solution"" for Muslims &amp; has called migrants ""cockroaches."" If TAGHERE can't find the courage to call her a bigot, they've abdicated their duty as journalists. They're doing political correctness instead of factual correctness to soften image of right-wing. URLHERE"""
7,,"""killed thousands of muslims in gujraat ,two-hundred n fifty girls,women were gang raped and then burned to death.Children were force fed petrol and then set on fire, pregnant women were gutted and then had their unborn child's body shown to them and now Kashmir URLHERE"""
8,,"""Not surprising that Muslims have special liking for those who write hateful content against Hindus. This guy below is one such. Is ur biggest hero Fakir Naik?? D man who abuses Hindu gods &amp; customs??"""
9,,"""Watch&amp;RTVideo. Save aReal Baby. WhenUgetHit by a Car. Ucan Sue. When you slip &amp; fall, you can sue. When your Jet crashes, your Family can Sue.WHY? When ur baby dies from a Vaccine in the #USA uCANNOT sue!!! Christians &amp;Patriots wake up. This is Real! CNN says this is Fake🤔 URLHERE"""
