index,label,tweet
0,,"""NEW: Feds investigating whether Connecticut's allowance of two transgender athletes to participate in track has violated the civil rights of three of the girls they consistently beat URLHERE"""
1,,"""TAGHERE Bernie is forgetting that the Democrats passed legislation under Clinton and Biden to bring young blacks to heel, and were partly responsible for the private prison evolution. Bringing Blacks to Heel! Now, Trump is letting them out, because he recognizes the injustice."""
2,,"""Share this picture!5 retweet = 5 naked pictures#ass #asshole #cock #dick #exposure #exposed #bisexual #gayporn #gay #faggot #slut #horny #porn #nude #naked #teamexhib #guyexposed #man #balls #fullnakedbody #passif #exposednude #exposedcock #exposedass #exhibitionist URLHERE"""
3,,"""The Dayton gunman’s trans brother, Jordan Cofer, was at least the 14th transgender person have been killed nationwide this year - at least 12 of whom were killed with a gun. Before Jordan, 100 percent of trans people killed this year were Black women. URLHERE"""
4,,"""❝I’m Black &amp; #Jewish#Israel Is NOT My Promised Land#Israelis reject:-Blacks as #Jews-Their children attending same schools w/ Black Jews-Closed a detention center 4 #Sudanese &amp; #Eritrean #Jews w/ an ultimatum: deportation to #Rwanda, or go to jail❞TAGHERE URLHERE"""
5,,"""A Colorado man posted “hunting guides” targeting Jews, Muslims &amp; refugees - but there’s no domestic terror statute to charge a person under. Unbelievably they had to wait until they found child porn on his phone before they could arrest him.Amerikkka.URLHERE"""
6,,"""The American natives praticed:- slavery- genocide- infanticide- child human sacrifice- cannibalism- mass rapeEtc etc etc. URLHERE"""
7,,"""Imagine being so racist that you think any class that celebrates diversity is “anti-white male”. I am upset if we are not about me??????"""
8,,"""being trans is something people just are. they don’t have to “earn” it or work for it. people don’t have to take hormones, have surgery, do any kind of transition to be trans. trans is short for “transgender” (being a gender other than the one assigned at birth) not “transition”"""
9,,"""TAGHERE Bloodbaths performed by radical progressives - one bent on establishment of a whites only progressive paradise and the other a TAGHERE supporter - typical progressives bent on creating a crisis and chaos to use to gain political advantage - you are not only sick you are evil"""
10,,"""TAGHERE TAGHERE TAGHERE TAGHERE TAGHERE TAGHERE And .. it has already bred and spawned an offspring of unknown lineage.The offspring is called the JF-Thunder 313 and here are its specs.Read and weep, fellow Indians, esp the 'speculation' at the bottom right hand side!🤪🤪 URLHERE"""
11,,"""With the proliferation of sycophantic Black racism apologists, today I’m giving out the inaugural #BuckDanceAward, given to Blacks making excuses for white supremacy.Today, we recognize @AlvedaCKing, niece of MLK, for using his legacy to claim “Donald Trump is not a racist.” URLHERE"""
12,,"""LGBT activities are illegal in 19 IsIamic nations, punishable by death in 10. In India, RSS supported decriminalization of homosexuality, AIMPLB/ Church opposed it.Yet liberals brainwash LGBTs to see Sanghis as their enemy and hardcore IsIamists as ally. Irony!"""
13,,"""i feel like im her queer older brother when she got here she asked me if i wanted to be called charlie or my birth name and she just uses my pronouns i love"""
14,,"""Indians give him fame, Stardom &amp; money.In return, he spreads propaganda against India.Reason why we Indians need to boycott Pakistani artists en masse URLHERE"""
15,,"""I am not surprised by @Malala’s ignorance and political correctness. She has never raised a voice against persecution of Baloch,Mohajirs,Pashtuns, Sindhis, Hindus, Christians, Ahmaddies &amp; Sikhs in Pakistan. URLHERE"""
16,,"""Male entitlement has no bounds! ""But Sam counters: ‘Not only am I a real woman; I would go even further to say that a transgender woman has more claim to womanhood than a “biological” woman.""URLHERE"""
18,,"""It’s actually criminal that we’re including OITNB, Stranger Things, Queer Eye, etc over FOOD SHOWS like Somebody Feed Phil, Street Food, Parts Unknown, I’ll Have What Phil’s Having, Taco Chronicals, etc etc etc"""
20,,"""Indians are circulating this fake account of a kashmiri Muslim, someone tell them that Mohammad Amna can’t be a man’s name😂Has anyone never met a man named Amna? #KashmirWantsFreedom #KashmiriLivesMatter URLHERE"""
21,,"""Fiddy's back to his debt collecting ways 🤦‍♂️ and this time he's going after Michael Blackson, following their strip club escapades 👀😂URLHERE"""
22,,"""NDTV is a darkest spot on Indians Journalism history. Govt should immediately stop broadcast of this anti Indian channel.#NDTVKaFraud#banNDTV"""
24,,"""#StopAyodhyaDelay | These people need to understand that this is a matter of faith for tens of crores of Indians: Gaurav Bhatia, National Spokesperson, BJP &amp; Sr Advocate, SC URLHERE"""
26,,"""10 mindsets destroying Nigeria:-E nor consign me-what’s in it for me?-He’s not from my tribe-Do you know who I am? -Your boys are loyal -That’s how Christians/Muslims do-Nobody is perfect  -everybody is doing it-we’ve set up a committee -let us pray,only God can save us"""
28,,"""First target was Kokura, a non Christian city that was only latter changed to Nagasaki because of bad weather. Why do you retards keep repeating this shit? There’s no source for the freemason point Japan killed more Christians than America did URLHERE"""
31,,"""My heart aches for Pebbles LaDime Doe, Kiki Fantroy, and their loved ones. The murder of Black trans women is a crisis that we must call out—and address head-on. URLHERE"""
32,,"""the fuck u mean they popularized anime? anime has always been popular lol.... asians are already under represented on media dont claim one of the few things that asians have. weve been whitewashed too many times on media now u wanna claim the anime. chill chile con carne."""
33,,"""TAGHERE also fun when people are like “yes racism against black people is bad im so pc” and then Continue to Be Racist Against Asians, Latinos, Indigenous people, you name it"""
34,,"""The Andrew Carrington Hitchcock Show (1055) Dr. Peter Hammond – The Real Story Of Israel And The JewsURLHERE  URLHERE"""
35,,"""TAGHERE We mourn him; but we also blame him while we praise the terrorists that are Hamas; who have a goal of killing all the Jews in Israel.We think this will lead to peace and safety.Genocide for peace!"""
36,,"""If someone said any group of ppl other than south asians made Bollywood “cool” 🤢🤢"""
37,,"""TAGHERE sounds like something someone who has something against Jews, melanated people (blacks), the LGBTQ+ community, muslims would say"""
38,,"""TAGHERE TAGHERE TAGHERE TAGHERE Are Jews from New York or Paris willing to let Native Americans (who have never left their land) take the land that they owe in the US? Everybody is originally from Africa. Claim that."""
39,,"""Dear fellow Christians,Being black is not illegal.LGBTQ will be in Heaven, get ready for a fabulous party.A woman’s choice to control her body is a Constitutional right.Kids should never die in cages.And Jesus wants you to stop being assholes.Sincerely,The Reverend"""
40,,"""I need a name for a queer student organization and I need some ideas....#queer #trans #gay #bisexual twitter I need your help! URLHERE"""
41,,"""you’re bisexual but you’ve dated guys?? just say you’re straight and go🤡🤡🤡 — is your brain made out of fucking tea leaves URLHERE"""
43,,"""I can understand why so many Atheists were Christians."""
44,,"""""There is no proof that they are LGBT""You dumb hoes there is no proof that they are straight either, pokemon characters never show any romantic interest so theyre open to interpretationGet yout heteronormative ass elsewhere, who cares if someone thinks theyd look cute 2geter URLHERE"""
45,,"""Van Dyke Parks wrote Come to the Sunshine when he was 22. It was his 2nd songwriting effort...a tune about his Depression-era Dad’s musical adventures on the inter-coastal waterway. URLHERE  Hits keep coming."""
46,,"""TAGHERE We have different definitions as to what ""the matrix"" is. On that album, rappers repeatedly call themselves and other 'Blacks' the n-word and many other pejoratives. It's not ""black excellence"". It exemplifies self-hatred, arrogance, materialism, misogyny, and trashy culture. URLHERE"""
47,,"""Please help support ace asexual flag border, add a #Twibbon now! URLHERE"""
48,,"""**QUEER POC SPACES IN LONDON THREAD** : I know the struggle of finding a space where you belong and feel safe so here are the spaces that took me 20 years to find. If there are any you know please feel free to add them!"""
49,,"""TAGHERE Alright Ill correct myself. Alot of christians were against him but theres a huge chunk that were with him"""
51,,"""TAGHERE It's so sad that Freddie Mercury ( Farrokh Bulsara) was actually an Indian and not much Indians know about this legend."""
52,,""""" young   lesbian   vip ""⏬⏬⏬CLICK HERE TO WATCH⏬⏬⏬URLHERE 💟💟💟⏫⏫⏫⏫⏫💟💟💟Harley Rose fuck doggystyle blowjob redhead 1894"""
53,,"""CRAZY RICH ASIANS may not be in my Top 20 Movies of 2018 but that wedding scene... my, I think it’s one of the most beautifully directed wedding scenes in movie history.And Kina Grannis’ cover of Elvis Presley’s classic is so mesmerizingly hauntingURLHERE"""
56,,"""This from a Baptist preacher in Florida. Reminds me of the Lutheran Church in which I grew up."""
57,,"""when cishet people think jokes such as “i hate straight people” are at the same level as lgbt people being denied goods and services, discriminated in the workplace, called slurs, kicked out of homes, beaten, sent to conversion therapy, and murdered URLHERE"""
58,,"""The French bought their own immuniity to Palestinian attacks with Jewish bloodFrance agreed not to target Palestinian terrorists who killed French Jews in Paris in 1982 if they refrained from carrying out further attacks on French soil says Yves BonnettURLHERE"""
59,,"""TAGHERE That #Trump is not an Obligate Heterosexual 😏❓"""
60,,"""TAGHERE Maybe she wants to be a Democrat, because Republicans are gun nuts, perverts, crooks, war mongers, fake Christians, and selfish a-holes."""
61,,"""How is a class about African American perspectives anti-white and anti-male?"""
62,,"""Joe Biden: ""Poor kids are just as talented and just as bright as white kid-WAIT! I didn't mean poor kids, I meant nigg-, uhh colo-, ummm BLACKS, THE BLACKS! Whew, almost flubbed that one there."""""
63,,"""straight people: why do lgbt people feel like they have to come out lol it’s nothing special straight people: ok so are you gay? haha i’m just asking but like seriously. are you gay? or bi? give me a label i need to know what you are. also i’m going to make news out of this"""
64,,"""This a whole ass dyke fucc you mean"""
65,,"""Little children are made to chant ""Death to Jews!"" at a summer camp in Turkey. This is how the seeds of hate &amp; anti-Semitism are sown. We join with the Turkish Jewish community in calling on Turkish authorities to investigate and address this immediately. URLHERE"""
66,,"""During Lal Bahadur Shastri’s leadership, the entire Congress party demanded that the special status (#Article370) of #Kashmir must end. Whenever a non-Nehru/Gandhi leads Congress, it thinks like Indians. URLHERE"""
67,,"""stan shay dixon the only main black lesbian in the skam universe instead of a white guy who said the n-word #skamitalia #FreeSkamItalia #TimVisionCediLeStagioni #TimVisionLetSkamItFree #ShareTheLoveTimVision URLHERE"""
