index,label,tweet
0,0.0,"""Is it crazy that I want my friend to upload her nude at blacks beach"""
1,0.0,"""TAGHERE TAGHERE Exactly!! Blacks are so quick to show love and support for a white dude but quick to  stigmatized and judge thier OWN. ✊🏽✊🏾✊🏽✊🏾"""
2,0.0,"""TAGHERE However, we do love our white Christians. ⛪️ URLHERE"""
3,0.0,"""TAGHERE And the so called clever blacks are united with them for smh"""
4,0.0,"""All Blacks and ppl being secretly (Targeted Individuals) attacked in this country should be able to seek asylum somewhere.....just being Black alone puts you in great danger in this country! URLHERE"""
5,1.0,"""TAGHERE got you bitch, tell your faggot ass bitch ass admin friend of chomp to kick the bucket"""
6,0.0,"""Good boy...VERY GOOD BOY"""
7,0.0,"""TAGHERE Stop spewing hate. He didn't talk of Rape. What are muslims dong against Yazidis? Don't see you opposing that?"""
8,1.0,"""TAGHERE TAGHERE TAGHERE TAGHERE 99.99 % rapists in India are muslims."""
9,0.0,"""It's up to us (non-racist whites) to shut down any situation wherein another white has gone nazi.   I will never stand by and watch someone be bullied/harrassed."""
10,1.0,"""not this fag who just asked if i had a gf"""
11,0.0,"""I have a great relationship with Whites.  I have great respect for them and they like me!"""
12,0.0,"""StanD Up For Humanity,!"""
13,0.0,"""The notion that American Christians experience ""persecution"" is a dangerous political hoax: one that's been allowed to go unchallenged for too long. This victim complex is nothing more than a pretext for the alt-Reich's treasonous assault on the Constitution. TAX CULT FACTORIES."""
14,0.0,"""TAGHERE If you care for minorities, oops! I mean Muslims, Ensure that they don't ..- promote Islamic Supremacy- do Riots- trap Hindu girls- consider Sharia as superior to Indian constitution- disrespect other's religious feelings.. And, they will have no problems at all.."""
15,0.0,"""TAGHERE wow... whites being their normal selves"""
16,1.0,"""TAGHERE TAGHERE TAGHERE ""All whites are created equal with certain rights, among them are life, liberty, and the pursuit of dead niggers."" URLHERE"""
17,1.0,"""Blacks are slaves on a plantation. Blacks can't think for themselves Blacks are criminals."""
18,1.0,"""TAGHERE I stopped watching the stream because I couldn't stand that faggot... I don't know who he is, but fuck that guy."""
19,0.0,"""FYI to all the Greeks defending this shit: They don’t think we are Christians either. They just really like Vladimir."""
20,1.0,"""Foreign blacks are so interesting to me 😂"""
21,0.0,"""TAGHERE TAGHERE I do care about them. But whites are discriminated against nearly as much as African Americans."""
22,0.0,"""TAGHERE TAGHERE TAGHERE Christians are being alienated by the dems. Christian children are no longer allowed to pray in schools, but muslims are? Makes no sense. yet you lefties consider that ""special treatment"" for Christians and still think we're ""privileged."""""
23,1.0,"""TAGHERE TAGHERE LoL keep killing, they are muslims,if muslims don't care then why should we?"""
24,0.0,"""TAGHERE Daily reminder that most Christians aren't in it for the Christ, but for the kink fetish of telling other people what to do and how to live their lives"""
25,0.0,"""How long until whites become like Jews: a minority of the population that crazy people blame all their problems on? Oh... so soon?"""
26,1.0,"""Shut the fuck up bro or I'll tell dad your a little fag!!"""
27,0.0,"""TAGHERE All Muslims sisters been looking so good!!! So beautiful! May Allah bless you! 😍😍😍"""
28,1.0,"""Bastard who is asking your view on our country..kindly bark against TAGHERE ..hopeless creature..TAGHERE doesn't need ur certificate..so get lost"""
29,0.0,"""But only God can save us"""
30,0.0,"""TAGHERE TAGHERE Not all Muslims are bad and not all Muslims come from Saudi. There are millions of Muslims all over the world. One of my sons best friends is a Muslim. They have been friends since Kindergarten and they're now 18yrs old. His parents are some of the nicest people."""
31,0.0,"""TAGHERE No one is giving white male criminals the “mentally ill” pass anymore. Those days are over. If it was about mental illness the mass shooters would be black, considering blacks have the highest untreated undiagnosed mental health rates."""
32,0.0,"""America without whites or Latinos would be a lot safer from narcissistic abuse attacks, gangstalking and gaslighting.  I know i'm white, but as president of USA i want to start deporting white people and send them to Mexico too."""
33,0.0,"""TAGHERE TAGHERE TAGHERE TAGHERE TAGHERE There is no people throughout time that has not mistreated others and their own kind.To say Whites have done this and not mention that every other race has also is straight up BS!Black killed black Indian killed Indian Asian killed asian White killed white"""
34,0.0,"""TAGHERE TAGHERE Are these lefties really yelling faggot ? How disgusting"""
35,0.0,"""If you're gonna judge all the Jews for the actions of Israel then shut the fuck up when the rest of the world judges Muslims for the actions of ISIS"""
36,0.0,"""TAGHERE Yeah, you're right. But at first it sounds like faggot."""
37,0.0,"""I'll take these Christians over the malignant Freak Show any day. URLHERE"""
38,0.0,"""Those in power are not who or what they claim to be the political system in America is not run by whites that’s a fact"""
39,0.0,"""What a completely evil heated person. Reflects none of the Gospels teachings."""
40,0.0,"""If Muslims commit an act of terrorism, it’s because of ALL MUSLIMS. If a white man commits an act ofterrorism, it’s because he’s max prestige in COD."""
41,0.0,"""it’s crazy bc whenever I see these stories, it’s about blacks being rejected from marrying into (non-black) Arab families. &amp; you always hear mockery like can’t you find a pretty black girl to marry? &amp; look...but I forgot - Somalis don’t consider themselves black, so..."""
42,1.0,"""Let's say there is such a thing as white privilege .... where might we have got it from? Non-whites? No - other white people. Non-whites want what we gave ourselves, what our ancestors took/developed and passed down to us. They can fuck right off."""
43,0.0,"""Hey y’all. Let’s talk for a minute...So I’ve seen a lot of Christians hating on Christians on here lately. I’m really disappointed because as Christ followers, we need to be loving others instead of hating on them or calling them names."""
44,0.0,"""TAGHERE They want what the whites have"""
45,0.0,"""Jesus would not tolerate His followers disrespecting each other. As Christians, we are all brothers and sisters in Christ. Being a Christian also means being more like Jesus. Jesus doesn’t hate on people and He’d never call anyone disrespectful names."""
46,0.0,"""What the actual fuck"""
47,0.0,"""TAGHERE Women are so silly. I can’t wait to see the looks on their faces when the Muslims take over."""
48,0.0,"""The mixed races believe that white people are their saviour. It's centuries of indoctrination that we have to break down. They don't believe in their own power. You won't find Ubuntu in a coloured area, they break each other down. Constantly talking about whites' competencies."""
49,0.0,"""The problem with ""Muslim women so oppressed"" narrative by certain people is that they actually don’t care about Muslim women at all.That’s why their obsession with Muslim women is limited to clothes &amp; relationships with non Muslims."""
50,0.0,"""TAGHERE As much as I hate the man... he’s the greatest finesse’r of all time.... still got these lower n middle class whites thinking he got they best interests"""
51,0.0,"""TAGHERE All who take alcohol aren't drunkards. What's the big deal in ridiculing them?? Wine is part of Christians celebrations. INTOLERANCE"""
