index,label,tweet
0,0,""" this is precisely how lunching of blacks started..."""
1,0,"""The people who need to leave this country, are the ones who can't accept that America isn't going back to the way things were in ""the good old days"" when blacks and women knew their place and did what they were told."""
2,0,"""if kids are too young for queer couples then they’re too young for straight couples. if you disagree then just know your homophobia is showing."""
3,0,""" When did they take down the sign that said, ""only Christians will go to heaven, Jews and Muslims are not welcome?"""""
4,0,"""   I’m proud to be a white woman, who supports and is campaigning for a black man for Senate. Many of us whites are. You’re a disgrace. """
5,0,"""    I only called someone a faggot lol """
6,0,"""If you I Stand With Ilhan ....Do you also stand with her following positions?-Jews run the world through mind control!-ISIS terrorists should get light sentences!-Supporting designated terrorist organizations like Hamas and CAIR."""
7,0,"""Lynching In India, 03 more people lynched to death.....The country which is called India has become the valley of Death for Muslims, Christians, Sikhs, Dalit and; other low caste ministries... """
8,0,"""       Ah, libertarians. The ideology that gets the vapors when told that slavery isn't ""just"" a property rights issue. That they're now embracing the idea that Jews are controlling The Other to take over ""our culture"" (but don't you dare say that's what they mean) is very on-brand."""
9,0,""" Didn’t that colored girl (because that’s what you like to be called), say if you’re not black and agree with the squad you’re not welcome, if u are Brown and don’t agree with the squad we don’t need you, if gay and don’t agree with them U aren’t welcome. That’s racists."""
10,0,""" What Glyn Secker actually said""And Jewish leaders here also turn a blind eye to the extreme right, even when their own Zionist Federation embraces the English Defence League, a neo-fascist group banned by Facebook. What on earth are Jews doing in the gutter with these rats?"""""
11,1,"""""...It sucks Logan is a Fag""-Preston"""
12,0,"""this is living and breathing christianity."""
13,0,"""GRAPHIC WARNING: Trump angers some Christians for taking the Lord’s name in vain in NC speech """
14,1,"""People telling you, you are a dumb fucking redneck, isn't racism, Stefan."""
15,0,""" Its not racist to disagree with any person of color .if 2 whites, black , brown , purple etc disagree it's all good , yet if a white person simply disagrees with any non white its racist 🤔 Seriously? Sad what is passing as racist nowadays. If your white , by default your racist😏"""
16,0,"""Beyoncé is giving so many blacks great opportunities to work w her and I’m sooooo proud"""
17,0,""" He’s a sincere racist. The scam is that it convinces working class whites he’s on their side while his admin pursues a laundry list of policies that scams and poisons them to give rich people more of the pie."""
18,0,"""I have heard some incredible bullshit from politicians in my life. But India being worried about illegal immigration has to be number one by far. That is just flat out ROFLMAO funny. Most Indians would sacrifice their first born to GET OUT."""
19,0,"""Good morning America, just had a thought here. If us whites are now the minority, where's our 40 acres and a mule?"""
20,0,"""As a gay man I can tell you that there is no such thing as an LGBT ‘community’. We are all lumped together when we often have very different and diametrically opposing views. The issue of self-ID is a prime example. It’s making a lot of gay and lesbian people feel alienated."""
21,1,"""We don't all hate jews you moron just you and that makes you anti-semitic!! For everyone saying I Stand With Ilhan is that what your standing for a racist mooslim terrorist?? If so you can get the hell out too!!"""
22,0,"""He said follow him.He was saying FOLLOW the WAY.Following is not simply acknowledgment. Even Lucifer acknowledges the WAY!Most people acknowledge but do not OBEY.Christians have received the greatest gift mankind could EVER receive. Most don't recognize just how Great! """
23,1,""" Dream about what? Killing Jews and Christians?"""
24,0,"""  No he’s right because this country was founded by Protestant Christians and that was why God blesses this nation. So people like Omar is inconsiderate of the traditions and establishments of the United States of America Tom. You are a Marxist Jew so you are also hateful."""
25,0,"""INAPPROPRIATE FOR  TO LIE and; SCREAM AT DHS CHIEF!  Cummings LIES! HAS NO CLASS! Those who come before pathetic House should be treated with respect!  IS RACIST TOWARDS WHITES and;  SHOULD APOLOGIZE TO DHS CHIEF!   are embarrassment to AMERICA!"""
26,0,"""   Her racism against Jews. She hates the US. She should just leave."""
27,0,"""Ano Jawhar Abdulmasih Abdoka, the only Christian in the new Kurdistan Regional Government cabinet, was sworn in using a Bible burned by ISIS to show solidarity w/persecuted Christians. Remember to pray for Christians around the world facing persecution. """
28,0,""" No, you are an embarrassment to all Whites, and all Americans who can form a sentence."""
29,0,""" Stop it. You know damn well we are a numerical minority. This embarrassing presidency is on whites.Also Meek is paying attention. Can’t matter to anyone/group who isn’t paying attention or otherwise doesn’t care."""
30,0,"""  we congratulate you on being the most admired Indian in the world. It is all possible because of your submission, dedication, hard work and a true love towards billions of Indians in the world. Jai Hind"""
31,0,"""Soft-brains who build on the emotional term ""hate"" call anyone having the power of discrimination a ""hater"". According to Sri Sri's own PR, he is not spreading Hinduism but spirituality. It can do as a Trojan horse, to get inside the enemy citadel; but is dishonest nonetheless. """
32,0,"""  To say and israel has no remourse is SO simplictic and problematic. To imply jews get a pass from the holocaust is too. This situation is more complex than almost any other in history tbh"""
33,0,"""Their goal is White Shaming"""
34,0,"""Comedy Central Trevor Noah raised in the Jewish religion has never criticized or disavowed Ilhan Omar rhetoric and her hatred of Jews, Israel and America. """
35,0,"""    Quit making it racial Geraldo. If Ilan was in Palestine during the 30’a she and the Mufti would have been egging on Hitler to come there and kills the Jews ."""
36,0,"""  Stop using us Jews as a shield to justify your racist vitriol."""
37,0,"""The squad, those 4 bimbos of the democratic party, they are socialist, Hitler was socialist, they hate Jews, Hitler hated the Jews. If Hitler was alive today, these women would be his loyal soldiers, that is a fact that is not up for debate."""
38,0,"""Jesus clearly said, if you only love those who love you what credit is that to you? Even the unGodly do that! So many Christians today teach to only love people who respect and honor you, this is totally against what Jesus taught. Completely! So we must love our enemies. Amen!"""
39,0,"""      May your words show it too. Christians today and how they sound, makes unbelievers doubt them. They don’t practice what they preach."""
40,0,"""Marco Rubio is lying about antisemitism to deflect from Trump's KKK-level racism. He's weaponizing Jewish fear at a time American Jews face GENUINE threats, including the risk of being MURDERED AT PRAYER, thanks to the white supremacist incitement OF MARCO'S OWN PARTY. """
41,0,"""   True Patriotism is about truth and love of our country.  We will NEVER the Muslim country you hope for.  We have many faiths including Islam AND Judaism.  You continually lie or mislead people about Pres. Trump.  I wish you would debate  so America can see your lies."""
42,0,"""  And if they don't identify as straight, who cares? The issue is that many people simply do not believe that men, of any sexuality, find transgender women attractive. And because of this, our murders are justified because ""who would ever want a trans woman""?"""
43,0,"""And yet no push back from the Socialist pig children on her hateful comments about Jews and her pro BDS bigoted stance on Israel hmm 🤔 I'm standing with Pro Israel   pro America        and not the anti Semites of the world. Rock throwers go home. """
44,0,"""When the right presents Trump as an enemy of anti-Semitism, it goes beyond hypocrisy. Jews have thrived here as they have in few other places in the world because America at least aspires to be a multiethnic democracy, not an ethnostate. @michelleinbklyn"""
45,0,"""Any ppl that wana oppress other races like Jews, Latin Americans or the Chinese Muslims if u comfortable treating humans like animals it needs 2b done 2 u til u get it. Let u catch lice n meningitis n the works n we’ll say is that why y’all usually bald cuz we kno u brought it in"""
